ID,book,bk,ch,vs,field
GEN/1:30,GEN,1,1,30,"and to every beast of the earth, and to every fowl of the heavens, and to every creeping thing on the earth, in which  breath of life, every green herb  for food:' and it is so."
GEN/1:31,GEN,1,1,31,"And God seeth all that He hath done, and lo, very good; and there is an evening, and there is a morning -- day the sixth."
GEN/2:1,GEN,1,2,1,"And the heavens and the earth are completed, and all their host;"
GEN/2:2,GEN,1,2,2,"and God completeth by the seventh day His work which He hath made, and ceaseth by the seventh day from all His work which He hath made."
GEN/2:3,GEN,1,2,3,"And God blesseth the seventh day, and sanctifieth it, for in it He hath ceased from all His work which God had prepared for making."
GEN/2:4,GEN,1,2,4,"These `are' births of the heavens and of the earth in their being prepared, in the day of Yahweh God's making earth and heavens;"
GEN/2:5,GEN,1,2,5,"and no shrub of the field is yet in the earth, and no herb of the field yet sprouteth, for Yahweh God hath not rained upon the earth, and a man there is not to serve the ground,"
GEN/2:6,GEN,1,2,6,"and a mist goeth up from the earth, and hath watered the whole face of the ground."
GEN/2:7,GEN,1,2,7,"And Yahweh God formeth the man -- dust from the ground, and breatheth into his nostrils breath of life, and the man becometh a living creature."
GEN/2:8,GEN,1,2,8,"And Yahweh God planteth a garden in Eden, at the east, and He setteth there the man whom He hath formed;"
GEN/2:9,GEN,1,2,9,"and Yahweh God causeth to sprout from the ground every tree desirable for appearance, and good for food, and the tree of life in the midst of the garden, and the tree of knowledge of good and evil."
GEN/2:10,GEN,1,2,10,"And a river is going out from Eden to water the garden, and from thence it is parted, and hath become four chief `rivers';"
GEN/2:11,GEN,1,2,11,"the name of the one Pison, it that which is surrounding the whole land of the Havilah where the gold,"
GEN/2:12,GEN,1,2,12,"and the gold of that land  good, there  the bdolach and the shoham stone;"
GEN/2:13,GEN,1,2,13,"and the name of the second river  Gibon, it  that which is surrounding the whole land of Cush;"
GEN/2:14,GEN,1,2,14,"and the name of the third river  Hiddekel, it  that which is going east of Asshur; and the fourth river is Phrat."
